start_time_s,end_time_s,pitch_midi,velocity,amplitude
14.765268,15.194838,43,94,0.740347
14.567899,14.765268,43,94,0.740864
14.521459,15.194838,50,63,0.498564
14.451799,15.194838,55,55,0.435931
14.393749,14.567899,43,72,0.570424
14.057060,14.289259,50,51,0.401821
14.033840,14.312479,38,66,0.516047
13.707477,13.858406,47,50,0.397038
13.649427,14.103500,52,52,0.405794
13.452057,13.649427,52,62,0.486800
13.440447,13.800356,55,56,0.438194
13.219858,13.707477,48,70,0.550045
13.161808,13.440447,55,60,0.471875
13.138588,13.753917,36,74,0.580837
13.045708,13.219858,48,71,0.562319
12.697409,13.359177,60,53,0.420931
12.569699,12.743849,64,43,0.335370
12.569699,13.452057,52,55,0.436802
12.523259,12.697409,60,73,0.573955
12.314279,12.523259,60,76,0.595607
12.082080,12.314279,60,82,0.645367
11.906646,12.082080,60,42,0.328746
11.883426,13.045708,48,58,0.455528
11.523517,12.244620,52,65,0.508776
11.488687,12.650969,36,67,0.526984
11.302927,11.883426,48,67,0.530891
11.268098,11.488687,60,41,0.324574
11.082338,11.523517,52,70,0.551314
11.012678,11.302927,48,52,0.412708
11.001068,11.488687,36,74,0.583594
10.966238,11.256488,55,60,0.474454
10.757259,10.943018,54,59,0.466658
10.606329,10.815308,62,50,0.391630
10.606329,10.757259,54,65,0.508933
10.606329,10.884968,50,60,0.472553
10.548279,10.861748,38,71,0.559911
10.339299,10.606329,54,66,0.520942
10.327689,10.536669,66,62,0.484284
10.188370,10.339299,54,75,0.592270
10.176760,10.327689,66,48,0.375306
10.095490,10.606329,62,53,0.415829
9.641417,10.118710,66,52,0.406218
9.641417,10.350909,50,59,0.466074
9.478877,9.641417,66,40,0.314015
9.235068,9.641417,50,63,0.492673
9.235068,10.548279,38,76,0.600191
9.130578,9.269898,66,53,0.419627
9.130578,9.432437,31,52,0.413328
8.851938,9.072528,43,58,0.458551
8.782278,9.130578,31,82,0.644798
8.747449,8.886768,50,49,0.388536
8.677789,8.851938,43,65,0.513978
8.642959,9.037698,62,44,0.347499
8.341099,8.782278,31,68,0.535991
8.317879,8.584909,55,53,0.421217
7.515507,8.317879,55,63,0.496305
7.515507,8.317879,43,52,0.409057
7.492287,8.341099,31,84,0.665195
7.469067,7.794146,50,44,0.343711
7.236868,7.515507,55,48,0.375152
7.016278,7.167208,45,51,0.401520
6.842128,7.074328,33,51,0.398323
6.830518,7.016278,45,57,0.450689
6.818908,7.097548,52,49,0.387135
6.749249,6.935008,50,33,0.262668
6.633149,6.830518,45,66,0.523135
6.609929,6.842128,33,58,0.459461
6.575099,6.749249,57,42,0.327492
6.551879,6.772468,52,51,0.398608
6.482219,6.633149,45,68,0.537655
6.424169,6.702809,60,53,0.418121
6.354509,6.609929,33,41,0.323765
6.342899,6.482219,45,73,0.572400
6.180360,6.470609,52,49,0.384842
6.180360,6.342899,45,56,0.437952
5.959770,6.180360,45,65,0.510424
5.958486,6.180360,52,39,0.303410
5.946876,6.087480,33,41,0.320563
5.784337,5.959770,45,73,0.571484
5.505697,5.958486,52,43,0.339765
5.505697,5.784337,45,67,0.529898
5.494087,5.714677,33,54,0.422894
5.064518,5.331547,60,47,0.372860
4.855538,5.041298,52,60,0.471428
4.634949,4.809098,76,40,0.314000
4.634949,4.843928,64,55,0.435527
4.112500,4.820708,40,68,0.536862
3.973180,4.124110,57,38,0.301713
3.960286,5.505697,45,76,0.595522
3.948676,4.100890,52,44,0.344223
3.112758,3.937066,38,73,0.577575
3.089538,3.739697,66,67,0.528137
3.066318,4.019620,50,65,0.512659
3.066318,3.681647,45,50,0.397143
2.880558,3.089538,66,82,0.644282
2.311669,2.880558,66,68,0.532105
2.207180,3.066318,50,78,0.615382
2.079470,2.334889,43,76,0.594501
1.799546,2.079470,43,93,0.729997
1.393197,1.822766,55,59,0.463696
1.346757,1.799546,43,81,0.640566
1.288707,2.207180,50,63,0.499458
0.499229,1.346757,43,80,0.627886
0.406349,1.288707,50,77,0.604874
4.182160,6.505439,48,60,0.469388
9.327947,10.176760,54,64,0.504306
2.671579,3.101148,38,55,0.430544
7.573557,7.852196,45,59,0.461962
9.037698,9.223458,38,49,0.382784
7.875416,9.107358,67,48,0.376520
11.674447,12.047250,64,54,0.424636
14.649169,15.055518,59,53,0.415250
13.975790,14.173160,45,53,0.414720
12.186570,12.441989,64,53,0.419136
12.372329,12.558089,52,52,0.411811
14.103500,14.382139,55,47,0.372476
7.945076,8.213390,50,49,0.382327
6.145530,6.505439,67,42,0.326886
13.904846,14.242820,60,46,0.358967
4.983248,5.447647,40,46,0.362697
5.517307,6.041040,60,42,0.331826
4.367919,4.994858,67,44,0.343602
8.805498,8.968038,59,48,0.375969
1.416417,1.753107,59,42,0.326785
6.180360,6.412559,60,40,0.314052
2.067860,2.253620,62,46,0.365562
9.896836,10.083880,62,39,0.306870
5.134178,6.006210,67,42,0.331851
9.026088,9.223458,50,43,0.334695
2.346499,2.555479,42,40,0.317351
7.736097,8.016020,59,40,0.315993
