start_time_s,end_time_s,pitch_midi,velocity,amplitude
2.200000,2.371000,50,90,1.000000
2.200000,2.371000,57,90,1.000000
2.200000,2.371000,62,90,1.000000
2.200000,2.371000,66,90,1.000000
4.080000,4.251000,45,90,1.000000
4.080000,4.251000,52,90,1.000000
4.080000,4.251000,57,90,1.000000
4.080000,4.251000,60,90,1.000000
4.080000,4.251000,64,90,1.000000
6.025000,6.196000,45,90,1.000000
6.025000,6.196000,52,90,1.000000
6.025000,6.196000,57,90,1.000000
6.025000,6.196000,60,90,1.000000
6.025000,6.196000,64,90,1.000000
11.090000,11.261000,48,90,1.000000
11.090000,11.261000,52,90,1.000000
11.090000,11.261000,55,90,1.000000
11.090000,11.261000,60,90,1.000000
11.090000,11.261000,64,90,1.000000
13.670000,13.841000,48,90,1.000000
13.670000,13.841000,52,90,1.000000
13.670000,13.841000,55,90,1.000000
13.670000,13.841000,60,90,1.000000
13.670000,13.841000,64,90,1.000000
